latitud,longitud,salud,bomberos,policia
-8.66,-74.67,0,0,0
-10.56,-70.83,0,0,0
-12.99,-75.28,0,0,0
-5.47,-77.36,0,0,0
-18.43,-71.46,0,0,0
-18.2,-70.28,0,0,0
-16.04,-74.4,0,0,0
-11.96,-75.0,0,0,0
-9.82,-75.56,0,0,0
-12.96,-76.7,0,0,0
-17.75,-69.68,0,0,0
-14.57,-72.15,0,0,0
-17.97,-71.86,0,0,0
-15.43,-74.05,0,0,0
-16.84,-71.5,0,0,0
-5.19,-79.16,0,0,0
-14.56,-75.48,0,0,0
-8.93,-80.16,0,0,0
-7.98,-74.68,0,0,0
-9.56,-76.02,0,0,0
-14.29,-76.62,0,0,0
-4.87,-81.46,0,0,0
-17.1,-69.71,0,0,0
-12.48,-77.04,0,0,0
-12.51,-77.11,0,0,0
-12.47,-77.03,0,0,0
-17.07,-70.11,0,0,0
-12.64,-76.78,0,0,0
-15.7,-71.71,1,0,0
-12.67,-76.89,0,0,0
-14.29,-75.8,0,0,0
-15.23,-75.79,0,0,0
-11.68,-76.73,0,0,0
-11.08,-78.1,0,0,0
-16.67,-72.38,0,0,1
-9.77,-78.75,0,0,0
-5.74,-78.69,0,0,1
-4.28,-80.58,0,0,1
-6.55,-76.28,4,0,4
-11.76,-77.53,0,0,0
-14.27,-77.3,0,0,0
-11.71,-77.4,0,0,0
-15.24,-70.95,0,0,0
-11.26,-74.7,2,1,1
-11.24,-74.7,2,1,1
-12.11,-71.63,0,0,0
-1.07,-77.54,0,0,0
-2.88,-75.25,0,0,0
-3.95,-80.81,0,0,0
-3.72,-79.04,0,0,0
-11.3,-76.53,0,0,0
-15.81,-71.72,0,0,0
-5.41,-80.32,0,0,0
-16.32,-73.64,0,0,0
-19.7,-69.96,0,0,0
-11.31,-74.76,0,0,0
-15.85,-73.33,1,0,1
-10.95,-77.1,0,0,0
-15.87,-69.41,0,0,0
-7.7,-75.67,0,0,0
-15.97,-74.59,0,0,0
-16.12,-75.12,0,0,0
-11.42,-78.02,0,0,0
-19.45,-69.79,0,0,0
-3.66,-80.85,0,0,1
-6.24,-76.68,0,0,0
-12.68,-76.61,3,1,1
-12.58,-76.73,0,2,1
-9.81,-77.29,0,0,0
-3.26,-80.3,0,0,0
-7.83,-77.98,1,0,0
-15.59,-74.33,0,0,0
-10.16,-78.95,0,0,0
-4.42,-77.72,0,0,0
-11.31,-77.82,0,0,0
-15.78,-71.8,0,0,0
-15.69,-72.02,1,0,3
-11.76,-73.02,0,0,1
-2.67,-76.7,0,0,0
-16.73,-70.2,0,0,0
-18.36,-70.03,0,0,0
-13.6,-72.65,2,1,0
-2.77,-79.91,0,0,0
-2.28,-77.66,0,0,0
-16.31,-73.81,0,0,0
-16.69,-71.33,1,0,0
-4.77,-79.76,0,0,0
-13.78,-71.92,0,0,1
-8.5,-76.31,0,0,0
-15.75,-69.91,0,0,0
-15.61,-70.73,0,0,0
-5.74,-78.72,2,0,1
-2.09,-77.56,0,0,0
-13.26,-76.85,0,0,0
-18.28,-69.97,0,0,0
-12.92,-76.34,1,0,1
-15.9,-74.7,0,0,0
-4.11,-80.82,0,0,0
-4.08,-80.86,0,0,0
-15.54,-71.84,3,0,1
-15.23,-74.64,0,0,0
-9.04,-74.94,0,0,0
-5.83,-77.27,0,0,0
-3.68,-79.94,0,0,0
-3.23,-80.64,0,0,0
-12.75,-77.21,0,0,0
-9.64,-75.72,0,0,0
-6.26,-80.13,0,0,0
-18.26,-69.88,0,0,0
-12.44,-77.13,0,0,0
-9.14,-75.69,0,0,0
-11.63,-77.36,2,0,1
-10.67,-75.43,0,0,0
-13.83,-71.9,0,0,2
-3.84,-80.5,0,0,0
-11.41,-74.8,0,0,0
-12.94,-76.69,0,0,0
-14.47,-76.43,0,0,0
-14.98,-71.69,1,0,0
-8.0,-78.09,0,0,0
-10.69,-78.71,0,0,0
-11.66,-77.49,0,0,0
-9.76,-78.71,0,0,0
-12.78,-77.29,0,0,0
-14.7,-76.31,0,0,0
-12.49,-76.66,1,1,0
-17.78,-69.79,0,0,0
-5.63,-78.82,2,1,0
-18.26,-69.6,0,0,1
-12.7,-76.92,0,0,0
-17.62,-71.88,0,0,0
-9.81,-78.79,0,0,0
-11.86,-78.59,0,0,0
-9.6,-78.43,0,0,0
-4.88,-76.49,0,0,1
-11.95,-75.04,0,0,0
-14.81,-76.16,0,0,0
-3.79,-80.58,0,0,0
-10.89,-73.75,0,0,0
-13.8,-73.09,0,0,1
-11.41,-77.55,0,0,0
-13.58,-72.87,4,2,7
-9.39,-79.19,0,0,0
-16.32,-74.51,0,0,0
-11.91,-74.95,0,0,0
-16.63,-69.3,0,0,1
-17.74,-69.92,1,0,0
-3.54,-80.76,0,0,0
-3.53,-80.6,0,0,1
-16.74,-71.55,0,0,0
-15.82,-74.66,0,0,0
-3.76,-80.41,1,0,1
-16.13,-73.47,0,0,0
-9.71,-79.11,0,0,0
-20.25,-69.26,0,0,0
-2.29,-79.87,27,11,2
-8.13,-78.09,1,0,0
-16.55,-71.61,1,0,1
-17.58,-70.92,0,0,2
-8.71,-74.77,0,0,0
-9.06,-78.71,0,0,0
-5.93,-81.28,0,0,0
-11.16,-76.95,0,0,0
-12.56,-76.88,1,0,1
-6.49,-81.62,0,0,0
-15.63,-72.02,1,0,1
-15.69,-71.99,1,0,1
-8.71,-80.27,0,0,0
-17.15,-70.67,0,0,0
-8.83,-74.81,0,0,0
-8.32,-76.48,0,0,0
-4.56,-80.8,0,0,0
-2.32,-77.7,0,0,0
-9.92,-80.08,0,0,0
-10.98,-75.3,2,2,0
-15.21,-75.89,0,0,0
-5.97,-76.64,0,0,0
-11.9,-77.5,0,0,0
-14.9,-73.61,0,0,0
-4.18,-80.41,0,0,0
-16.84,-69.7,0,0,0
-11.41,-77.65,0,0,0
-15.37,-76.07,0,0,0
-15.05,-76.29,0,0,0
-13.7,-71.86,0,0,2
-13.34,-75.01,0,0,0
-4.86,-80.86,6,0,2
